wolof_word,word_type,english_meaning,wolof_phrase,english_phrase
aaba,v,"to borrow, lend",Aaba naa benna mbubba ci Sira.,I borrowed one dress from Sira.
aabakat,n,"borrower, lender",Alkali aabakat bu mag la-. ,Alikali is a big borrower.
aaduna,n,"the world, generation, universe",Aaduna si dafa rey.,The world is huge.
aaga/eega,v,"to arrive at, to reach",Dinaa aaga kër ci kanam.,I will reach home in a while.
aagee/eegee,v,"to deliver a message, to make reach",Aagee naa la xibaar bi dëmba ci ngoon.,"I have delivered the message to you, yesterday evening."
aaji,v,"to unhook, to hit a target, to bring down",Aaji naa teeré bi yi ci kow almoor bi.,I brought down the books which were on top of the cupboard.
aajo,va,"to be respectful, need, anxiety",Dafa am aajo.,He is respectful.
Aajuma/gaaw,n,Friday,Aajuma laay dem Banjul.,I shall go to Banjul on Friday.
aaka,n,"confrontation, attack verbally",Lii yëffi aaka la.,This is an act of confrontation.
aaka,v,to confront,Mangee aaka Sam.,I am confronting Sam.
aala,n,"forest, bush",Aala bi mungee lakka.,The bush is burning.
Aalarba/aaralba,n,Wednesday,Aaralba la jógée tukki.,He returned from his journey on Wednesday.
aaluwa,n,a wooden writing tablet,Jox ma suma aaluwa bi.,Give me my wooden writing tablet.
aanda,v,to go together,Aanda leen.,You go together.
aapal,v,to limit,Aapal naa la tuuti rek.,I have given you a short time (short limit).
aar,n,protection,,
aat,n,an uncircumsized person,Xale bu góór bi aat la.,The boy is uncircumcized.
aatee,v,"to judge, seperate",Xaali bangee aate séy bi.,The Muslim judge is judging the marriage.
aateekaay,n,courthouse,Aateekaay bangi ci boor gééj gi.,The courthouse is by the sea.
aateekat,n,magistrate,Aateekat bi jigeén la.,The magistrate is a woman.
aaxa,n,sin,Aaxa baaxut.,It is not good to sin.
aay,va,"to be smart, ill-lock",Ku aay la ci ligeey bi,He is smart in the job
aayee,v,"to deprive, prohibit, forbid",Aayee neñu ma mbuuru.,They have forbidded me bread.
aay-gaaf,va,to be ill-fated,Lamin takka na jigeén ju aay-gaaf.,Lamin has married an ill fated woman.
abal,v,to lend,Abal ma sa gasukaay bi.,Lend me your digging tool.
abale/able,v,"to borrow out, lend out",Abale nga sa yére yi yep.,You have lent out all clothes.
able,v,to lend out to someone,Maangee able suma ceen bi.,Iam lending out my neck lace.
aca,n,ok,,
aca,ex,"go(imperative), let's do it, do it",Aca xaj bi.,"Go! dog - (do not use ""aca"" on adults)."
aca,int,"go on, go away, the meaning of this word is always explained by the context or situation.",,
afeer,n,"affair, business",Lii du sa afeer.,This is not your business.
ag/ak,conj,and/with,Janax ag muus duñu xarit.,Mouse and cat are not friends.
agsi/egsi,v,to arrive,Gan gi agsi na.,The guest has arrived.
ajaratu,n,"female pilgrim, a woman who has been to Mecca, woman's name, title given to a female pilgrim to Mecca",Yaamay ajaratu la.,Yaamay has been to Mecca.
aji,v,to go on pilgrimage,Dinga aji dewén.,You will go on pilgrimage next year.
aju,va,to be be hung,Rooseekaayam yaangi aju ci kow.,His watering tools are hung on top.
akara,n,bean cake,Jënda nga akara ci bitik bi.,You bought bean cake at the shop.
Aku,n,Creole,Aku bari na ci suñu reew mi.,There are many Akus in our country.
alaafiya,n,"chance, freedom",Am nga alaafiya.,You have got freedom.
Alaaji,n,"male pilgrim, a man who has been to Mecca, a man's name, male pilgrim to mecca",Kii alaaji la.,This man has been to Mecca.
Alet/dimaas,n,Sunday,Alet laa dee noppaleku.,I usually rest on Sunday.
alfun,n,million,Bugga naa benna alfun.,I want one million.
aljana/arjana,n,heaven,Nepaa bugga dugga aljana.,Everybody wants to enter heaven.
Alkaali,n,head of the village,Alkaali bi mag la.,The head of the village is old.
almet,n,matches,Jox ma boyeti almet bi.,Give me the box of matches.
almoor,n,cupboard,Almoor bi raffet na.,The cupboard is beautiful.
Almuudu,n,arabic scholar,Almuudu bangee yelwaan.,The Arabic scholar is begging for alms.
Altine/Lundi,n,Monday,Dina dem Banjul altine.,She will go to Banjul on Monday.
alxamdulilaa,ex,praise be to God(Arabic),Nit ñi ñep deñu wara wox alxamdulilaa.,All the people should say praise be to God.
Alxemes,n,Thursday,Alxames lay foot.,He will wash on Thursday.
am,v,to have,Am neñu ligeey.,We have work.
am-di-jamma,n,acquaintance,Kii suma am-di-jamma la.,This person is my acquiantance.
ame,va,to be in possession of something,Maangi ame ñetti xar yu goor.,I am having three male sheep.
amel,va,"to be in debt(kind/cash), to owe",Amel na ma xaalis.,He owes me money.
Amet,n,Moor,Amet bi Muritani la jónée.,The Moore is from Mauritania.
amiin,ex,amen,"Soo ma ñaanalee, dinaa wox amin.","If you pray for me, I will say amen."
amxar,n,split open,,
am-xel,va,"to be be smart, intelligent",Xale bi dafa am-xel.,The child is smart.
am-yaram,va,"to be be fat, put on weight",John angee am-yaram,John is putting on weight.
ana,adv,where,Ana caabi bi?,Where is the key?
anaago,n,frock,Anango laa sol.,I'm wearing a frock.
anam,adv,"where is it(contraction), (ana mu-where]C.P)",,
anam,n,"the manner/way to do, something usually right/holy manner/way",Am na ko ci anam gu sella.,He got it in the right manner.
anda,n,censer,Lii sa anda la.,This is your censer.
andandoo,n,companion,Tasee naa ak suma andandoo yi.,I met with my companions.
Angale,n,English,Angale lay laaka.,He speaks English.
Angalteer,n,England,Angalteer leñu jógéé.,They come from England.
antan/antal,va,"to be able to lift, bear, endure",Dinaa antan woliis bi.,I will be able to lift the trunk.
anyi,n,some,,
añ,n,lunch,Añ pare na.,Lunch is ready.
añaan,va,"to be envious, be jealous, be selfish",Dafa añaan.,He is jealous.
añaanee,va,to be jealous of,Dafa ma añaanee suma jiite bi.,She is jealous of my leadership.
añee,v,to lunch at,Añee naa ci marse bi demba.,I ate lunch at the market yesterday.
apparanti,n,apprentice,Apparanti jox ma suma wéécit.,Apprentice give me my change.
Araab,n,Arab,Kii araab la.,This person is an Arab.
araam,v,to be forbidden,Fen dafa araam.,Lie is forbidden.
araf,n,letter,Bindal bene araf.,Write one letter.
arankees,n,money box,,
arbit,n,referee,Arbit bi jubut.,The referee is not straight forward.
asamaan,n,sky,Asamaan si xiin na torop.,The sky is very cloudy.
aset,n,"plate, Saturday",Aset bi setut.,The plate is not clean.
at,n,year,Waa i am na ñaar fukki at.,The guy has twenty years.
ataaya,n,"tea party, China green tea",Ataaya bi safut.,The tea is not tasty.
ataliye,n,workshop,Nawkat yaangi am ataliyee ci marse bu mag bi.,The tailors have a workshop in the big market.
ay,adj,some trouble,Ay daala laa jenda.,I bought some shoes. Dafa bariay
aye,v,to on duties,"Nun, ñoo aye bale.",It's our turn to sweep.
baaca,v,to thresh,Mangee bacaa maalomi.,I am threshing the rice.
baadoola,n,"pauper, poor person",Moom baadoola la.,He is a poor person.
baakaar,n,sin,Saacakat bi am na baakaar.,The thief has sinned.
baakanti,v,"to return, change direction",Dafa baakanti yoon.,He changed direction.
baakarkat,n,sinner,Waaji baakarkat la.,The man is a sinner.
baaku,v,"to glorify oneself, to invite an opponent in a wrestling contest",Samba dafe muna baaku torop.,Samba likes to express himself too much.
baalal,v,"to excuse, forgive",Baalal ma.,Excuse or forgive me.
baambaane,v,"to lull, to baby sit",Baambaane xale yombut.,To lull a child is not easy.
baambaanekat,n,baby-sitter,Baambaanekat bi ñówut tey.,The baby sitter did not come today.
baameel,n,"cemetary, burial ground",Baameel yi yep fees neñu.,All the cemetaries are full.
baandaas,v,"to bandage, dress",Dama bugga baandaas sa góom bi.,I want to bandage your wound.
baaneex,va,"to be happiness, rejoice, joy",Tey am naa baaneex.,Today I have happiness.
baaneexu,va,"to be make oneself happy, rejoice",Dineñu wara baaneexu.,We should rejoice.
baanga,n,"pumpkin, squash",Lii baanga bu neex la.,This is a sweet pumpkin.
baanganooye,n,timid person,Alkali baanganooge la.,Alkali is a timid person.
baaraam,n,"finger, toe",Baaraam am bi dafa foxoj.,His finger is sprained.
baare,v,"to barricade, prevent, block",Toogu bi baare na yoon bi.,The chair blocked the way.
baase,n,"Senegambian dish, peanut & beans sauce",Ceere ak baase dafa neex.,Coos-coos and baase is delicious.
baat,n,"neck, sentence, voice, utterance",Baat bu rey la am.,He has a hoarse voice.
baatale,v,to leave a message with someone for somebody,Baatale naa fa.,I left a message there.
baax,adj,be good,Sam ku baax la.,Sam is a good person.
baaxental,v,"to celebrate, revive cultural activities",Deñoo baaxental.,We are celebrating.
baaxon,n,crow,Baaxon picca bu ñaaw la.,A crow is an ugly bird.
baay,n,"father, to leave, withdraw",Suma bay dafa maaget.,My father is old.
baay,v,to cancel,,
baayee,v,to leave with,Baayee naa ko bataaxel bi.,I left him with the message.
baayeekoo,v,"to come from, emerge from",Jamjanbure laa baayeekoo.,I came from Janjanbure.
baayi,v,"to leave, abandon","Dafa baayi doómam, mu dem.",She abadoned her children and went.
baayo,n,"orphan, surname",Xale bi baayo la.,The kid is an orphan.
bagaas,n,"luggage, baggage",Bagaas yi bari neñu.,The luggages are too much.
baken,n,"nose, life",Dafa am baken bu taaca.,He has a flat nose.
bakku,n,laddle,Bakku bi damma na.,The laddle broke.
balankaar,n,stretcher,Nit ku feeber kaangi tëdda ci kow balankaar bi.,The patient is lying on the stretcher.
balanse,n,white wash,Lii poti balanse la.,This is a white wash tin.
balanse,v,to white wash,Penturkat bangee balanse neeg' bi.,The painter is white washing the house.
bale,n,broom,Jendal ma bale.,Buy me a broom.
bale,v,to sweep,Balel peron bi.,Sweep the porch.
ban,int,question,,
ban,n,mud,Suuf si ban la.,This is clay soil.
ban,adj,which,Ban kër leñu dékka?,Which compound do they live in?
ban,v,to please,,
banaana,n,banana,Mey ma banaana.,Give me a banana.
bandaas,n,bandage,Lopitaan bi amut bandaas.,The hospital has no bandage.
banjooli,n,Ostrich,Mungi gudde ni baanjooli.,He is as tall as an Ostrich.
banka,va,"to be broke, out of",Baana-baana bi banka na.,The businessman is broke.
banka,v,to bend,Bankal sa tanka bi.,Bend your leg.
banku,va,"to be to be bent, in a state of being bent",Taati mango bi banku na.,The mango tree is bent.
banta,postp,"out, outside",,
banta,adv,"ready, finished, out outside",,
banta,n,"piece of wood, stick, log",Saanil banta bi.,Throw the sick away.
banxaas,n,"branch, section of tree, section of an organisation",Banxaas bi dafa gudda.,The branch is long.
bañ,v,to refuse,Bañ naa jangi.,He refused to go to school.
baña,adv,of course,"Dinaa feéci, baña.",I will go to the dance of course.
bañar-bañari,v,"to swaying of the hips, walking., whilse",Mungee bañar-bañari penkaam yi.,She is swaying her hips.
ban,n,a bench,Jox ma baŋ bi.,Give me the bench.
bar,v,to stammer,Dafa dee bar.,He stammers.
bar,n,iguana,Bar bi mungee daw.,The Iguana is running.
bari,conj,but,,
bari,n,"plenty, much, surname",,
barkaati demba,n,day before yesterday,Barkaati/borkaati demba laa dem Soma.,I went to Soma day before yesterday.
bataaxel,n,"letter, message",Am nga bataaxel bu jógée ci Lamin.,You have a letter from Lamin.
batanse,n,"egg plant, garden egg",Nun batanse leñu ji.,We planted egg plants.
bax,v,"to boil, bubble",Ndox mangee bax.,The water is boiling.
baxa,n,sky blue colour,Naw naa piisi baxa.,I sewed a sky blue fabric.
baxal,v,to boil,Baxal neñu nen yi.,They boiled the eggs.
bayál/baye,n,"park, empty ground",Ci bayál bi leñu dee foyee.,Weplay at the park.
be,av,"to is, are",,
be,prep,"until, up to",Be ëlék.,Until tomorrow.
becak,n,"noon, 12:00 pm",Becek le ñu añ.,We eat lunch at mid-day.
beekoor,n,drought,Beekoor á dugga ci rew mi.,There is drought in the country.
beer,n,beer,Naanal beer.,Drink beer.
bees,v,to winnow,Munge bees maaloo.,She is winnowing rice..
beew,va,to be rude/sulky,Dafa beew torop.,He is very rude.
